GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
Albany Park,57655,51542,51992,13299,14031,11658,8134,2603,1573,694,33.66573315,15608,24927,2401,7536,1520,50417,41342,29224,27098,2060,12118,919,25715,13090,2222,8606,1548,249,0,3289,7630,4204,1440,34480,7441,8478,5094,1843,7581,4043,3508,3664,3032,2193,2326,1840,58128.20513,16563,6738,9825,1677,18240,3507,175,3723,3598,7221,5.41307779,778,1693,3004,12765,0,4182,7202,4869,1516,471,921,2652,2284,796,289763.289,17805,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2516,1939,1886,1526,1505,4977,Health Care,Retail Trade,Manufacturing,Administration,Information,1081,784,618,534,401,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7184,2563,1390,769,560,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2130,560,222,154,144,0,0,0,11783.64945,0,0,0,0,0,0,0,0,0,0,1.660925123,1229.160488,302.8772592,0.246409856,295.5282393,0.240430963,34.52091519,0.028084954,75.0401623,0.06104993,53.80426522,0.043773182,20.18811455,0.016424311,413.6236539,0.336509071,0,0,28.1029245,0.022863511,5.474953959,0.004454222,4145,4269,2917,5232,10796,1374,5767,2186,18,199,1969,4630,316,994,3320,2994,924,1210,860,6302,4574,1265,463,26580,21813,48393,17232,31161,16221,17232,20908,968,245,2027,767,694,1784,3084,684,15866,26741,1907,10178,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.390574246,0.807083937,0,0,0.050373333,1,1,0.499173988
Archer Heights,12644,13393,13142,4017,2827,2925,1818,970,323,261,33.3543923,2213,10181,115,581,52,13141,9871,6561,5956,605,3310,109,5659,3638,741,988,262,30,0,613,1571,1135,575,8184,2357,3103,1415,309,762,239,880,1197,769,385,520,143,46632.12435,3894,2110,1784,391,4285,1834,89,1043,1135,153,5.51371308,14,821,2389,1062,0,325,1491,1907,353,210,473,1471,147,10,177516.7785,4679,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,718,539,511,510,433,9743,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3154,1902,1395,814,766,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1821,598,293,255,251,Outside of Chicago,South Lawndale,Gage Park,Brighton Park,West Lawn,5060,284,266,262,258,0,0,0,13482.20221,0,0,0,0,0,0,0,0,0,0,1.504478182,1283.804076,168.5504569,0.13128986,68.80594191,0.05359536,18.17661924,0.014158406,52.72312355,0.041067889,37.96304059,0.029570743,333.6055192,0.259857034,555.8869363,0.432999822,0,0,15.00514554,0.011688034,33.08729291,0.025772852,884,822,665,1523,2905,501,989,438,8,63,367,1514,211,379,924,751,371,248,132,1035,771,232,32,7013,5207,12220,2211,10009,4234,2211,8535,959,424,30,23,0,0,38,0,6752,5485,74,48,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.796716085,0.159881895,0.805830495,0,0,0.270191392,1,1,0.363993732
Armour Square,12032,13391,13455,2634,2816,2376,2522,1540,1097,470,43.83373934,1728,538,1218,9832,138,13431,11580,6620,5849,772,4960,183,5492,1984,934,1138,1265,170,0,2223,2053,788,143,9996,3351,3043,944,391,1397,869,2496,1038,599,316,549,210,26466.21622,5209,1927,3280,517,5724,365,670,883,1139,2645,4.659985152,736,2287,803,1897,0,1603,1843,1877,222,178,233,858,686,144,279523.8095,4828,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Professional,931,623,423,418,364,5107,Accommodation and Food Service,Administration,Arts and Entertainment,Health Care,Retail Trade,1531,797,758,718,360,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1518,768,665,314,261,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1236,724,665,256,237,0,0,0,7679.484439,0,0,0,0,0,0,0,0,0,0,2.176483779,637.4241471,56.11815354,0.088038951,79.23643807,0.124307243,9.858423032,0.015466033,89.51277156,0.1404289,11.24928064,0.01764803,18.03499949,0.028293562,343.6325199,0.539095548,0,0,15.01918641,0.023562312,14.76237447,0.023159421,1628,1707,750,1123,3302,308,1907,1705,189,432,1084,1495,166,355,974,598,294,189,115,1065,823,223,20,5029,7813,12842,3912,8930,6578,3912,268,47,8312,1,0,5,86,209,1,2062,448,2046,7305,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.265896451,0.798455,0.200206398,0,0.097347585,1,1,0.620297655
Ashburn,39584,41081,43792,12999,8377,9200,8567,3031,999,619,35.87248322,4745,16924,20837,315,971,43230,33341,22287,19383,2904,11054,409,18354,13110,2296,2777,44,127,0,984,4284,4943,2771,27420,4202,8428,6463,2617,3727,1983,1988,2489,2903,2080,2393,1129,66560.12658,12982,10946,2036,630,13612,11934,121,352,530,675,6.531557614,309,1806,10844,653,0,457,2339,7225,2524,1067,4296,6257,273,105,162994.4444,16531,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2208,2143,1706,1574,1409,5380,Retail Trade,Health Care,Utilities,Administration,Accommodation and Food Service,1144,998,811,441,382,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,6818,3795,847,844,288,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2880,288,191,135,97,0,0,0,17837.27574,0,0,0,0,0,0,0,0,0,0,2.024588915,3109.741438,1267.654974,0.407639992,41.0147385,0.013189115,9.861780477,0.003171254,132.2606009,0.04253106,182.6937832,0.058748866,103.8056305,0.033380791,1071.498311,0.344561865,0,0,259.8666136,0.083565344,41.08500641,0.013211711,2439,3271,2540,4732,10214,1583,2768,1353,24,127,1202,3003,626,392,1985,2903,860,1070,973,5602,3808,1476,318,33776,7216,40992,26924,14068,4598,26924,12510,177,44,92,554,0,75,361,255,14546,6674,17045,408,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792998452,0.621942666,0.303683443,0.787867197,0.144636625,0,0.153914964,1,1,0.294515802
Auburn Gresham,55928,48743,46278,11696,9176,7871,9857,3810,2966,902,39.77464195,324,862,44435,143,514,46163,37125,20714,16330,4376,16411,697,15311,9475,1136,4388,200,112,0,5216,7484,3485,926,31343,5224,9744,9357,2187,3003,1828,7036,4348,2714,1404,1151,458,31694.19134,17111,7389,9722,3503,20614,9003,366,3906,3234,4076,5.879673136,695,1609,9992,8318,0,3705,6833,6619,2295,1162,4456,2785,132,11,133976.5101,14500,Health Care,Retail Trade,Administration,Education,Transportation,2816,1599,1562,1469,1226,2554,Retail Trade,Transportation,Accommodation and Food Service,Health Care,Manufacturing,619,343,334,225,178,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,4988,2709,1091,896,267,Outside of Chicago,Auburn Gresham,South Shore,Chicago Lawn,Roseland,957,240,83,74,73,0,0,0,10588.32037,0,0,0,0,0,0,0,0,0,0,1.732237832,2411.968642,800.1402725,0.331737428,319.4367425,0.132438182,22.1472367,0.009182224,90.51849484,0.037528885,109.0889485,0.045228179,54.89306421,0.022758614,834.3641343,0.345926609,0,0,59.34399755,0.024603967,122.0357504,0.050595911,6085,4677,2768,3581,10532,2634,6579,5016,81,434,4501,5465,830,1401,3234,2687,1179,1081,427,2975,2315,556,104,42865,839,43704,42947,757,191,42947,430,8,0,17,0,11,38,177,76,237,347,54862,45,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983346819,0.995529309,0.223909645,0.698409158,0.027726401,0,0.084098495,1,1,0.401111944
Austin,117527,98514,95260,26485,20778,17210,18261,7751,3738,1037,35.31122795,4403,12398,76989,483,987,94258,74018,41036,34730,6306,32982,1059,32898,19392,2400,9761,923,422,0,10438,12676,6383,2269,60916,12960,21367,13443,4541,5641,2964,12616,8389,4507,2695,2371,1188,32843.04285,31766,12886,18880,5482,37248,9793,680,11465,6688,8476,5.766883442,1414,2530,10294,23010,0,6775,13795,11394,3272,2012,5605,5905,1095,265,162706.6748,33535,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,6078,4046,3793,2917,2703,15815,Health Care,Administration,Retail Trade,Manufacturing,Construction,3998,2293,2288,2140,1059,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15317,4817,1990,1695,1172,Outside of Chicago,Austin,Lake View,Belmont Cragin,Near North Side,7797,1172,312,299,273,0,0,0,10201.78239,0,0,0,0,0,0,0,0,0,0,0.69933427,4574.247078,958.052872,0.209444933,794.1884294,0.173621673,62.31247312,0.013622455,206.1060424,0.045057916,206.2583587,0.045091215,499.2045646,0.109133712,1470.444483,0.321461534,0,0,199.7012992,0.043657742,177.9785561,0.03890882,10230,8327,5109,8100,20185,5507,11581,9239,265,490,8484,10547,1041,2428,7078,4472,1677,1606,1189,6216,4253,1564,399,83214,4929,88143,76434,11709,4188,76434,10132,334,0,156,181,0,102,690,114,5662,4841,105369,642,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997556134,0.906325697,0.215805371,0.686323312,0,0,0.0902474,1,1,0.416497335
Avalon Park,11147,10185,9985,2326,1753,1567,2305,1019,662,353,44.07438017,61,66,9705,38,115,9970,8300,4244,3486,757,4056,216,3157,2065,412,640,8,31,0,889,1798,942,251,7070,982,1811,2146,450,1128,554,1253,954,605,474,396,197,41394.23077,3880,2563,1315,673,4551,2697,226,330,499,800,6.268811881,388,354,1920,1890,0,1054,1069,1297,707,424,1016,1456,45,47,161426.1168,3262,Health Care,Education,Public Administration,Retail Trade,Administration,596,453,339,313,286,3101,Health Care,Construction,Accommodation and Food Service,Other Service,Retail Trade,1959,346,136,125,123,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,915,814,275,182,85,Outside of Chicago,Chatham,Roseland,South Shore,Auburn Gresham,1001,144,129,122,120,0,0,0,11996.00199,0,0,0,0,0,0,0,0,0,0,2.859074403,800.1087547,304.0586079,0.380021598,27.29928454,0.034119467,2.5777557,0.003221757,44.90504583,0.056123678,43.01241951,0.053758216,12.00895279,0.015009151,313.5653522,0.391903414,0,0,28.04807396,0.035055327,24.63326225,0.030787392,1550,1134,491,704,2143,469,1736,833,13,76,744,1151,180,211,760,598,139,210,248,1068,627,278,163,9056,160,9216,8954,263,60,8954,97,1,0,0,0,20,43,30,73,96,85,10816,19,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.301472386,0.704114686,0,0,0.119288164,1,1,0.378602345
Avondale,43083,39262,37368,8556,12291,7847,4977,2228,1016,453,32.72315789,12843,21491,784,1537,713,37287,30369,21058,19896,1162,9311,825,18811,9427,1890,6124,1061,309,0,2627,6476,3289,943,26184,6146,5980,3964,1406,5518,3170,2985,3517,2337,1570,1631,1295,51702.6749,13335,4934,8401,1774,15109,2403,410,4557,4503,3219,5.545876756,1169,932,2324,10684,0,2917,7040,3962,829,361,511,2088,1759,523,291649.1043,15135,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1722,1590,1493,1430,1342,8088,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1759,1316,1057,748,548,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5498,2460,1310,850,533,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Portage Park,3911,343,318,228,188,0,0,0,12853.07505,0,0,0,0,0,0,0,0,0,0,0.874526544,1269.297425,161.3034353,0.127080881,312.1340129,0.245910853,34.99896212,0.027573492,100.3619822,0.079068924,27.47548954,0.021646219,130.9090439,0.103135043,478.3776366,0.3768838,0,0,8.819099177,0.006948016,14.91776287,0.011752772,3426,4321,2521,3067,7831,1129,5504,1837,0,32,1805,4271,224,1056,2991,2319,637,1058,624,4496,3059,1092,345,22854,12179,35033,14608,20425,9886,14608,17052,1851,44,425,117,12,237,669,18,12757,26700,669,953,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.385502597,0.803702966,0.100600381,0,0.07015328,1,1,0.504176003
Belmont Cragin,78144,78743,79910,24695,17843,17467,12996,4248,1878,782,32.89033154,10745,64782,2103,1562,719,79577,60172,40846,37066,3763,19326,695,35671,22809,4845,5765,1340,912,0,3222,8832,6860,3190,49217,17754,14993,7528,2644,4472,1825,5438,6122,4467,2250,2722,1105,47262.93103,22105,11204,10902,2273,24379,9184,497,6100,5458,3076,5.699237888,1115,2208,8488,12567,0,3510,9710,6848,2828,1483,2025,7327,1645,151,218502.2866,26150,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3630,3182,3170,2758,2679,13934,Administration,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,6420,2616,968,714,659,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12513,2731,1365,977,975,Outside of Chicago,Belmont Cragin,Austin,Portage Park,South Lawndale,7353,975,391,289,277,0,0,0,13727.45007,0,0,0,0,0,0,0,0,0,0,0.888154331,2504.577926,711.9193761,0.284247245,385.3348102,0.153852194,48.23862681,0.019260182,242.3128767,0.096747989,146.5820761,0.05852566,121.3587519,0.048454772,775.6952422,0.309710963,0,0,64.77975078,0.025864538,8.356415651,0.003336457,4286,4812,3836,9171,16781,3640,5324,3514,22,85,3407,7596,373,1661,5561,4413,1404,1464,1545,6061,4050,1427,584,42533,31218,73751,13018,60733,27375,13018,54447,4015,0,1101,402,35,268,405,60,21881,50881,2000,1989,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.181722127,0.784830424,0,0,0.082042029,1,1,0.34769955
Beverly,21992,20034,20822,5351,2858,4275,5094,2107,764,373,43.21455648,12012,1095,7031,163,521,20795,16384,10756,10089,667,5628,458,9425,6698,575,1897,188,67,0,371,2862,3160,1280,14563,483,2098,2837,1130,4078,3937,718,1274,1071,1144,1249,2217,91903.40909,7673,6184,1489,375,8048,6230,61,332,254,1154,7.121640736,167,395,3784,3702,0,848,1565,3173,1820,642,464,2466,2637,544,307809.5831,9791,Education,Public Administration,Health Care,Professional,Retail Trade,1810,1257,1167,760,696,3328,Health Care,Accommodation and Food Service,Retail Trade,Education,Administration,613,474,430,417,411,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3633,3090,488,459,322,Outside of Chicago,Beverly,Morgan Park,Roseland,Auburn Gresham,1586,322,99,92,74,0,0,0,14379.79173,0,0,0,0,0,0,0,0,0,0,2.046641896,2038.093742,1043.623654,0.512058711,58.80296981,0.028851946,9.86203456,0.004838852,66.06563123,0.032415404,42.68778334,0.020944956,0,0,548.8854012,0.269313128,0,0,257.6114287,0.126398224,10.55483891,0.00517878,2141,2360,1274,1898,5264,323,2409,424,0,9,415,1400,119,536,745,1071,427,415,229,4581,3266,863,452,18728,669,19397,18433,964,179,18433,577,34,51,48,7,0,4,224,19,13814,643,7006,121,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959061719,0.986192269,0.627961272,0.802322728,0,0,0.109984398,1,1,0.315491248
