year,Murder,Criminal_Sexual_Assault,Robbery,Aggravated_Assault/Battery,Burglary,Theft,Car Theft,Arson,Total,
1998,676,2594,22828,30012,35628,116432,36281,1305,245756,
1999,592,2415,19598,27416,29615,109577,35144,1225,225582,
2000,582,1952,19018,26250,28187,104639,29413,1055,211096,
2001,654,1910,18255,25370,25925,96984,27405,996,197499,
2002,629,1848,18339,24578,25251,94205,24924,1017,190791,
2003,598,1804,17321,19805,25099,97068,22784,945,185424,
2004,445,1704,15893,18729,24418,93766,22744,773,178472,
2005,448,1615,15922,17906,25271,83132,22435,680,167409,
2006,487,1533,15854,17454,24182,83910,21788,713,165921,
2007,442,1569,15321,17334,24607,81833,18416,695,160217,
2008,510,1472,16077,16586,25252,82771,18176,622,161466,
2009,461,1436,15817,15676,26430,78487,15348,604,154259,
